Time,ZeroLevelSetArea,MinPhi,MaxPhi
0,8.59753874937522,-19,3.2499
0.02,8.36528443089648,-19.7442,3.24646
0.04,8.14335252657235,-20.4883,3.23785
0.06,7.89871131110808,-21.2323,3.224
0.08,7.67368268253757,-21.9763,3.20453
0.1,7.4527830196289,-22.7204,3.18158
0.12,7.24117352945938,-23.4644,3.15656
0.14,7.00375800390334,-24.2085,3.12821
0.16,6.79421299656474,-24.9525,3.09672
0.18,6.5805390235643,-25.6966,3.05605
0.2,6.37512298188755,-26.4406,3.00374
0.22,6.15215883614796,-27.1846,2.95201
0.24,5.95087176013305,-27.9286,2.90829
0.26,5.74855244270268,-28.6727,2.85904
0.28,5.554491056596,-29.4167,2.78619
0.3,5.3397848421801,-30.1607,2.72535
0.32,5.14675569748888,-30.9047,2.67315
0.34,4.95579103562858,-31.6487,2.58888
0.36,4.77205206367651,-32.3927,2.5232
0.38,4.5656037805843,-33.1367,2.45827
0.4,4.38599377429407,-33.8807,2.36714
0.42,4.202254802342,-34.6247,2.30977
0.44,4.03090272737546,-35.3687,2.20878
0.46,3.8337446170224,-36.1127,2.15176
0.48,3.6613603006404,-36.8567,2.05117
0.5,3.49207270850479,-37.6006,1.99269
0.52,3.32588184061556,-38.3446,1.89712
0.54,3.15556200706448,-39.0886,1.82115
0.56,2.98111320785156,-39.8326,1.7492
0.58,2.8262769955324,-40.5765,1.65839
0.6,2.67040854179778,-41.3205,1.58791
0.62,2.50937888098585,-42.0644,1.5248
0.64,2.346284737343,-42.8084,1.44616
0.66,2.20280318059392,-43.5523,1.37217
0.68,2.05932162384483,-44.2963,1.30394
0.7,1.91584006709574,-45.0402,1.25043
0.72,1.76410057902296,-45.7842,1.19897
0.74,1.63300591925941,-46.5281,1.14989
0.76,1.50500798374223,-47.272,1.10477
0.78,1.37907453105598,-48.0159,1.06435
0.8,1.23662521572236,-48.7599,1.03464
0.82,1.11998193577526,-49.5038,1.0157
0.84,1.00953210432092,-50.2477,1.00409
0.86,0.903211238528433,-50.9916,0.993144
0.88,0.777277785842183,-51.7355,0.97155
0.9,0.675085885711537,-52.4794,0.932404
0.92,0.580119675489119,-53.2233,0.8818
0.94,0.486185706682162,-53.9672,0.82176
0.96,0.381929323720595,-54.7111,0.753293
0.98,0.294188803406404,-55.455,0.677025
1,0.211609490169519,-56.1989,0.603349
